Machine_ID,Temperature_C,Vibration_mm_s,Pressure_bar,RPM,Current_A,Voltage_V,Operating_Hours,Load_Percentage,Maintenance_Count,Last_Maintenance_Days,Failure_History,Machine_Status
M01583,57.81,3.72,92.14,3302,10.95,422.7,4718,39.61,4,127,Yes,Fault
M01584,70.74,5.34,118.47,1934,5.67,458.46,2501,86.78,10,22,No,Normal
M01585,75.15,5.5,86.57,2454,8.42,406.98,11643,93.74,1,208,Yes,Fault
M01586,78.32,6.45,106.16,3370,7.19,437.29,1894,80.52,2,77,No,Normal
M01587,72.12,3.41,90.01,2269,10.44,476.43,4618,45.39,1,73,No,Normal
M01588,65.6,2.8,83.61,2983,6.32,411.94,6691,62.39,3,67,Yes,Normal
M01589,60.07,3.95,87.08,3726,7.56,358.61,5394,86.55,8,62,Yes,Fault
M01590,71.03,2.76,67.9,1245,8.6,390.9,7241,62.84,6,48,Yes,Normal
M01591,57.13,5.52,89.28,2578,11.92,423.22,4639,65.54,1,226,No,Normal
M01592,35,2.41,57.11,2970,7.28,391.57,8296,93.65,3,280,Yes,Normal
M01593,75.24,8.7,72.92,1635,7.58,405.28,9692,78.56,2,204,No,Fault
M01594,80.85,6.83,86.54,2456,5.4,406.74,5126,69.66,3,121,No,Normal
M01595,41.64,4.52,101.72,3479,6.24,430.71,7565,74.92,7,37,No,Normal
M01596,57.88,6.06,105.03,2342,9.45,388.51,6646,80.97,0,61,Yes,Normal
M01597,77.43,1.55,81.69,1835,8.57,398.65,6657,66.45,5,145,No,Normal
M01598,94.69,9.04,87.18,3535,8.61,454.4,2526,78.12,3,7,No,Fault
M01599,70.25,3.44,98.78,3089,12.5,401.51,7763,52.4,3,51,No,Normal
M01600,61.26,4.28,66.39,2755,4.65,435.32,7268,83.29,3,53,No,Normal
M01601,67.81,1.16,90.67,2736,13.83,415.39,5836,60.69,3,102,No,Normal
M01602,86.5,5.38,73.41,3468,11.21,414.35,5138,53.38,1,70,No,Fault
M01603,62.25,2.51,82.59,2991,7.75,435.67,2978,89.55,5,119,No,Normal
M01604,60.41,4.68,78.57,3220,9.4,362.85,1726,74.32,2,91,No,Normal
M01605,64.21,3.52,91.1,2350,6.93,427.41,8288,72.45,4,47,No,Normal
M01606,58.56,2.56,92.7,1554,9.23,430.48,5656,76.15,4,55,Yes,Normal
M01607,71.47,3.05,97.48,3204,13.44,438.76,2992,39.86,3,18,No,Normal
M01608,89.5,4.91,89.87,3516,7.01,404.49,6494,81.38,1,169,No,Normal
M01609,73.88,2.19,87.4,2654,7.97,415.01,4572,65.48,1,121,No,Normal
M01610,66.97,3.15,110.96,3377,6.76,346.33,4237,96.29,3,51,No,Normal
M01611,66.5,5.69,63.66,2582,7.13,396.24,1228,100,5,98,No,Normal
M01612,51.24,9.18,108.74,2741,7.57,419.92,6031,74.08,2,140,Yes,Fault
M01613,80.6,5.36,80.94,3939,5.98,456.18,3367,76.03,6,169,Yes,Normal
M01614,69.07,2.85,92.99,2611,7.89,466.68,8660,71.41,2,155,No,Normal
M01615,67.83,3.84,80.44,2572,8.62,405.41,9433,35.01,2,51,No,Normal
M01616,108.32,4.56,75.16,1585,7.57,439.47,4948,40.81,2,84,No,Normal
M01617,73.59,3.87,91.78,3249,3.21,410.88,9123,45.44,1,73,No,Normal
M01618,60.98,6.13,99.59,2339,8.15,369.75,2917,79.8,2,237,No,Normal
M01619,64.88,4.89,91.62,2896,8.39,431.94,2484,95.42,1,39,No,Normal
M01620,83.78,6.13,77.41,2595,12.86,466.28,3622,76.81,5,90,No,Fault
M01621,71.36,3.93,125,2510,8.56,404.32,3457,46.02,2,48,No,Normal
M01622,52.74,6.89,101.78,2723,10.65,389.6,2711,30.85,2,158,No,Normal
M01623,81.03,4.2,98.07,2773,7.52,416.89,5252,59.51,2,125,No,Normal
M01624,61.98,2.75,80.06,3564,11.49,411.56,12000,60.42,2,64,No,Fault
M01625,92.48,8.42,76.25,3788,6.33,480,8878,81.95,2,129,Yes,Fault
M01626,82.96,1.22,81.08,3223,9.66,443.16,5575,87.61,5,132,No,Normal
M01627,64.63,3.17,100.14,3627,10.43,418.62,3756,71.03,2,81,Yes,Normal
M01628,85.37,3.37,71.13,3355,10.1,333.93,8292,47.28,5,71,Yes,Normal
M01629,70.81,9.01,70.05,3121,13.48,410.99,3144,69.12,0,200,No,Fault
M01630,80.23,7.75,92.55,3746,7.16,466.86,5731,32.69,3,104,No,Fault
M01631,75.82,7.19,89.47,1949,11.75,417.24,7767,63.2,4,51,No,Fault
M01632,59.84,3.9,74.22,2355,11.16,438.01,1591,89.3,4,149,No,Normal
M01633,62.28,8.87,69.72,2266,8.61,425.97,7632,65.42,3,175,No,Normal
M01634,82.36,5.16,105.13,2604,12.73,401.37,4448,91.57,3,211,No,Fault
M01635,65.98,6.26,90,3246,8.16,462.36,2963,60.82,3,93,No,Fault
M01636,65.16,4.82,65.91,2075,8.55,420.29,11869,76.98,3,17,Yes,Normal
M01637,58.54,4.41,66.89,3127,8.49,395.21,3380,42.39,3,163,Yes,Normal
M01638,75.08,4.05,79.94,2418,5.57,415.6,12000,75.4,0,194,No,Normal
M01639,94.75,4.12,95.26,2574,10.25,454.97,5232,66.84,3,137,No,Fault
M01640,57.19,5.6,93.33,2930,9.89,373.58,3519,60.45,2,60,No,Normal
M01641,70.29,5.16,100.84,3893,8.26,422.57,3607,89.8,3,205,No,Fault
M01642,86.95,4.44,64.14,2337,12.55,417.06,3307,76.9,2,82,No,Normal
M01643,69.04,7.22,88.13,2748,7.49,371.88,8304,60.88,4,145,No,Normal
M01644,75.43,0.5,104.96,2099,4.52,436.47,12000,91.43,4,95,Yes,Normal
M01645,57.25,5.42,103.66,2331,12.88,422.18,4761,100,2,227,Yes,Fault
M01646,75.14,5.79,90.02,2093,10.83,439.6,4810,47.88,3,106,No,Normal
M01647,67.75,6.56,117.87,2959,9.94,446.87,2065,62.17,1,80,No,Normal
M01648,81.83,4.38,93.53,3076,7.72,413.44,7976,71.45,1,135,No,Normal
M01649,84.25,4.87,99.6,3247,9.29,399.44,4873,100,1,160,No,Fault
M01650,101.07,6.27,85.62,2310,5.6,375.11,4758,54.84,3,54,No,Normal
M01651,76.96,7.18,74.07,3130,7.98,396.96,12000,64.95,1,162,No,Fault
M01652,73.91,3.96,72.75,2874,6.42,415.31,3602,90.64,3,85,No,Normal
M01653,72.33,4.98,87.54,2762,9.1,388.02,2093,93.94,2,181,No,Normal
M01654,65.76,7.52,82.04,1993,10.62,431.34,10367,48.78,1,77,Yes,Fault
M01655,74.06,0.68,60.24,2900,6.09,389.7,3857,71.08,4,245,No,Normal
M01656,66.46,3.26,70.64,2920,10.17,365.64,2845,62.78,3,60,No,Normal
M01657,72.02,7.14,80.54,2866,8.96,398.82,7108,33.88,5,131,Yes,Normal
M01658,85.81,6.47,95.18,3060,10.07,420.16,1416,52.45,1,81,No,Normal
M01659,57.92,5.44,84.77,3251,7.94,379.74,4292,81.16,5,170,No,Fault
M01660,83.68,3.69,83.99,2086,10.12,390.13,2964,56.97,5,95,Yes,Normal
M01661,85.81,2.91,71.18,2659,6.9,397.36,5970,86.35,6,87,No,Normal
M01662,68.58,3.44,85.32,3135,4.63,401.03,5165,76.76,3,53,No,Normal
M01663,44.54,7.29,103.47,2626,5.16,423.34,7632,71.32,4,110,No,Normal
M01664,62.71,3.37,87.18,3424,7.34,432.86,2293,61.66,6,53,No,Normal
M01665,85.56,4.68,63.9,2859,4.79,401.72,8553,71.15,4,72,Yes,Normal
M01666,69.73,3.14,67.48,1529,12.07,385.91,6385,89.34,7,333,No,Normal
M01667,58.01,6.02,93.24,3346,8.31,418.83,4082,34.26,5,69,No,Normal
M01668,63.94,3.53,81.86,2724,10.61,429.5,7365,46.99,2,144,Yes,Normal
M01669,80.09,4.32,83.96,1650,10.31,460.19,9590,91.46,2,56,No,Normal
M01670,76.56,1.47,76.42,2636,8.51,447.09,9498,33.08,0,237,No,Normal
M01671,67.13,1.6,92.05,1976,16,379.75,6521,47.93,3,97,No,Normal
M01672,65.6,4.51,80.79,3290,15.23,411.05,4467,77.55,5,236,Yes,Fault
M01673,65.3,2.11,82.39,2777,11.7,427.77,4207,72.57,1,31,No,Normal
M01674,58.93,8.29,73.08,2200,6.42,391.19,4715,54.93,1,98,No,Normal
M01675,89.38,0.79,97.9,3327,11.8,405.18,4106,83.35,3,198,No,Normal
M01676,66.13,3.06,81.9,3098,4.48,433.87,5074,41.33,3,168,Yes,Normal
M01677,84.61,4.53,93.51,2647,11.71,422,3056,100,1,87,No,Fault
M01678,88.26,3.84,68.29,1990,2.62,415.05,9358,80.32,5,105,No,Normal
M01679,81.98,2.51,109.27,2252,7.77,396.7,4563,67.05,2,118,Yes,Normal
M01680,64.82,2.78,102.88,2243,11.28,374.52,6260,90.51,1,133,No,Fault
M01681,74.84,2.72,58.26,3285,9.39,406.25,4818,85.76,6,109,No,Normal
M01682,69.71,3.98,73.77,1707,5.1,412.45,6714,87.76,3,200,No,Normal
M01683,59.16,8.01,91.69,2769,8.89,373.88,4905,63.97,1,100,Yes,Fault
M01684,73.89,4.64,66.52,2637,9.39,416.34,2214,40,1,68,Yes,Normal
M01685,55.85,6.63,83.16,3473,8.97,425.98,5422,87.43,3,97,Yes,Fault
M01686,84.25,5.41,90.97,2951,7.56,395.62,2645,83.84,4,115,No,Normal
M01687,64.42,6.5,82.41,3148,10.47,426.3,6966,83.46,3,154,No,Fault
M01688,72.41,0.5,92.54,2459,11.13,422.72,10065,54.74,3,127,No,Normal
M01689,73.4,3.95,75.29,2000,8.15,406.47,4628,85.62,6,81,No,Normal
M01690,66.89,6.85,53.58,2588,12,403.35,9156,60.29,3,177,No,Normal
M01691,77.04,3.47,98.75,3305,8.14,405.7,2959,91.38,5,56,No,Normal
M01692,64.3,7.67,98.66,3304,7.37,391.03,7659,65.88,2,88,No,Fault
M01693,80.46,7.17,120.05,2520,11.62,424.65,6263,45.34,5,144,No,Fault
M01694,53.85,3.66,54.1,2241,11.54,391.33,12000,50.76,1,192,No,Normal
M01695,71.52,3.59,95.51,2113,7.07,393.13,5319,57.05,2,190,No,Normal
M01696,93.27,2.68,57.44,2711,6.74,428.92,4365,91.19,1,65,No,Normal
M01697,58,3.37,109.59,2889,12.56,408.22,9030,67.03,4,62,No,Normal
M01698,61.87,2.28,91.83,3758,8.26,416.73,12000,60.65,4,148,Yes,Fault
M01699,76.17,5.27,71.67,2880,8.51,367.07,9620,100,3,89,Yes,Fault
M01700,72.15,1.88,95.92,3199,7.92,400.35,7240,63.79,4,97,No,Normal
M01701,74.21,5.59,77.26,2293,11.54,462.06,5682,49.37,2,179,No,Normal
M01702,75.87,5.63,89.21,2827,13.43,365.14,6849,100,2,141,No,Fault
M01703,77.62,1.51,87.88,2891,8.66,463.99,5155,54.85,5,180,No,Normal
M01704,83.32,7.29,109.42,2709,14.06,422.31,4368,47.36,4,75,No,Normal
M01705,74.92,5.42,110.41,2786,7.22,400.08,1730,89.5,5,132,No,Normal
M01706,67.1,5.85,76.64,2882,7.85,409.28,4873,53.56,4,113,No,Normal
M01707,78.07,3.13,99.81,3113,10.05,449.45,4662,63.17,4,68,No,Normal
M01708,92.8,5.62,89.97,3560,6.62,351.23,5683,71.34,1,152,No,Fault
M01709,68.41,6.53,65.22,1327,10.02,454.63,5205,62.68,1,170,No,Normal
M01710,58.31,4.32,75.25,3524,7.31,422.44,9930,64,3,83,Yes,Normal
M01711,83.28,8.1,117.71,1688,4.95,443.34,3390,78.84,1,60,No,Normal
M01712,68.56,4.58,90.01,3001,4.49,366.05,5452,65.55,2,64,No,Normal
M01713,43.93,6.55,99,4331,7.76,408.63,6640,52.61,0,71,Yes,Fault
M01714,80.17,5.03,82.03,2772,9.46,349.81,7190,64.92,2,112,Yes,Fault
M01715,63.58,5.55,77.44,2917,5.37,448.53,12000,89.13,3,79,No,Fault
M01716,68.91,1.49,85.38,2598,8.91,387.48,4520,59.8,3,187,No,Normal
M01717,73.98,5.17,81.27,3234,8.92,387.07,10853,85.48,4,167,No,Fault
M01718,72.29,3.18,64.09,3035,8.11,360.84,7548,71.84,3,65,Yes,Normal
M01719,78.51,2.98,70.95,2361,6.37,427.44,3821,60.16,1,290,No,Normal
M01720,64.77,7.64,94.91,2726,9.05,417.01,4227,56.03,2,15,No,Normal
M01721,76.16,4.12,79.67,2073,8.17,394.06,5376,68.51,1,184,No,Normal
M01722,66.89,2.69,85.36,2723,10.76,422.37,4918,94.28,3,157,Yes,Fault
M01723,78.87,3.85,88.29,2527,5.53,393.16,3307,64.24,2,85,Yes,Normal
M01724,77.38,2.16,89.38,2889,8.76,365.74,1261,49.37,4,90,No,Normal
M01725,58.77,7.08,101.05,2339,5.57,404.81,6478,54.31,1,44,Yes,Normal
M01726,83.03,3.25,69.62,2661,7.95,461.05,12000,82.16,0,134,No,Fault
M01727,63.57,5.45,92.98,2806,5.98,442.21,12000,55.93,2,166,No,Fault
M01728,79.7,6.94,95.57,2851,6.39,427.75,11865,94.53,4,38,No,Fault
M01729,74.41,3.6,98.8,2978,8.49,421.83,3556,87.32,1,127,No,Normal
M01730,92.06,5.46,65.22,2687,7.2,404.83,3757,53.46,2,117,Yes,Normal
M01731,67.32,2.65,88.57,2289,11.87,435.61,7787,66.25,3,209,No,Normal
M01732,65.81,8.9,109.03,2853,11.21,430.83,2873,89.37,0,61,No,Fault
M01733,69.77,6.19,83.61,2684,10.35,412.67,6659,60.91,5,100,No,Normal
M01734,66.36,4.15,91.77,3466,10.31,420.57,4633,68.35,3,72,No,Fault
M01735,79.6,3.11,95.93,3548,8.8,370.04,3394,85.13,4,68,No,Normal
M01736,50.6,4.29,70.64,1908,11.5,401.55,1639,95.15,1,96,No,Fault
M01737,57.36,3.89,110.67,3201,7.82,381.59,5040,79.82,4,37,No,Normal
M01738,57.19,8.02,91.99,3332,13.37,381.06,4826,70.65,1,107,Yes,Fault
M01739,81.4,2.29,92.27,1925,6.33,428.17,10385,61.24,4,4,No,Normal
M01740,90.53,4.74,61.73,3177,5.9,379.59,8081,45.22,2,215,No,Fault
M01741,68.75,4.47,96.12,3382,5.29,436.51,6246,62.44,6,70,No,Normal
M01742,67.97,4.29,92.09,2183,5.69,443.9,9913,62.69,4,121,No,Normal
M01743,70.84,4.3,107.74,2646,4.75,413.27,2728,80.59,6,80,No,Normal
M01744,83.94,4.29,80.64,2921,8.99,398.05,5181,64.91,2,97,No,Normal
M01745,58.87,6.07,71.17,3171,10.46,443.87,6759,68.49,5,45,Yes,Fault
M01746,72.86,5.6,75.45,2158,8.58,430.47,9398,92.84,3,69,Yes,Normal
M01747,81.7,5.25,77.93,3552,5.31,448.47,11172,69.08,3,143,Yes,Fault
M01748,76.01,0.5,69.34,1481,7.42,384.72,5619,58.2,3,83,No,Normal
M01749,72.27,5.04,103.06,3660,10.44,407.71,4198,46.72,4,164,Yes,Normal
M01750,82.01,1.52,103.59,3158,7.71,408.88,12000,59.92,5,92,No,Normal
M01751,37.56,5.66,82.26,2396,6.66,420.86,7334,50.91,0,66,Yes,Normal
M01752,78.13,7.15,79.5,3362,5.02,432.5,6292,57.53,1,71,No,Normal
M01753,62.15,2.83,59.58,2119,7.53,418.86,5206,100,1,117,No,Normal
M01754,48.03,4.03,94.74,2875,6.88,452.39,5287,63.12,3,64,No,Normal
M01755,76.13,3.42,108.15,2955,8.3,404.51,3793,74.16,2,96,No,Fault
M01756,86.48,6.72,76.08,2953,9.6,385.63,6013,100,3,68,No,Fault
M01757,68.35,4.67,83.37,2254,7.85,396.36,5377,50.16,0,82,No,Normal
M01758,81.43,7.61,91.08,2478,8.93,392.88,4708,75.07,4,320,No,Fault
M01759,89.35,5.24,109.14,2882,9.59,402.23,2985,88,4,66,Yes,Fault
M01760,85.78,4.94,87.8,2328,5.67,407.46,5116,74.09,2,181,Yes,Normal
M01761,89.68,4.62,87.74,2976,12.84,408.65,9716,60.15,5,72,No,Fault
M01762,78.91,5.97,87.51,2401,6.79,421.49,12000,77.8,4,59,No,Fault
M01763,70.91,1.37,65.05,3450,9.69,402.09,5710,52.05,2,96,No,Normal
M01764,50.78,4.65,64.74,3816,5.89,444.37,3942,64.49,3,66,No,Normal
M01765,67.05,4.37,73.69,2607,8.75,360.73,2462,39.22,2,108,No,Normal
M01766,59.88,5.81,99.18,3398,8.84,352.65,6545,78.54,2,45,Yes,Fault
M01767,96.05,4.16,80.31,2662,12.32,443.04,5900,90.23,4,91,No,Normal
M01768,67.89,2.63,77.59,2191,7.96,440.84,3872,82.28,2,63,No,Normal
M01769,71.48,4.51,77.34,2523,11.49,449.69,3045,79.31,3,86,No,Normal
M01770,76.62,2.55,83.07,2856,9.17,432.83,9131,67.6,3,69,No,Normal
M01771,70.52,1.03,108.83,1638,12.76,415.07,12000,58.4,3,136,No,Fault
M01772,90.34,5.81,82.88,3207,4.41,407.76,9834,42.83,4,92,No,Fault
M01773,62.53,5.54,73.99,2856,9.61,370.14,2745,52.29,6,110,Yes,Fault
M01774,72.34,5.34,85.35,3450,2.35,419.13,3330,54.61,4,93,Yes,Normal
M01775,61.09,6.85,109.57,3195,8.37,374.77,4246,75.56,4,96,No,Fault
M01776,54.16,3.3,77.96,2878,10.85,480,9990,89.04,2,135,No,Fault
M01777,62.66,1.92,68.47,2569,11.82,386.1,3906,71.59,1,188,No,Normal
M01778,69.56,4.37,77.99,3790,10.2,412.89,3004,65.86,1,252,No,Normal
M01779,64.85,3.87,86.8,4210,7.83,457.18,2634,100,5,40,No,Normal
M01780,61.69,2.98,94.64,2580,9.75,404.75,8957,77.29,2,111,No,Fault
M01781,53.12,4.36,99.1,3477,14.29,404.94,8399,42.97,1,203,Yes,Fault
M01782,69,3.4,70.36,2341,8.67,342.57,4446,66.63,7,156,No,Normal
M01783,51.94,1.2,71.69,2418,10.71,378.33,2950,60.02,5,178,Yes,Normal
M01784,79.12,3.71,80.47,2549,7.51,430.72,2310,36.43,2,37,No,Normal
M01785,70.99,2.45,94.58,3245,10.96,461.84,2577,88.28,3,59,No,Normal
M01786,52.51,4.92,67.36,2101,10.58,390.05,4091,71.41,5,146,No,Normal
M01787,66.29,3.32,76.5,3807,7.1,420.51,8118,100,2,48,Yes,Fault
M01788,60.97,6.5,76.7,3410,10.29,480,10992,88.48,2,86,No,Fault
M01789,73.83,7.39,98.18,3230,10.4,430.87,4264,57.36,6,187,No,Fault
M01790,86.09,5.72,92.4,2609,10.2,442.33,10627,77.1,3,130,Yes,Fault
M01791,47.5,1.71,97.65,3339,8.41,393.55,7865,76.2,3,43,Yes,Normal
M01792,71.38,7.21,103.74,1000,11.33,458.47,3704,66.71,6,119,No,Normal
M01793,68.08,7.34,80.72,3087,6.35,395.62,3373,35.08,3,49,No,Normal
M01794,78.06,4.53,68.38,2904,8.52,390.7,3285,83.01,3,134,No,Normal
M01795,72.56,6.88,68.47,1574,8.76,456.42,4075,37.02,4,148,No,Normal
M01796,60.98,3.51,59.27,3064,11.19,397.17,2480,43.51,6,157,No,Normal
M01797,66.17,1.14,78.58,3184,6.28,414.9,7041,73.71,2,42,No,Normal
M01798,60.45,3.13,79.62,1595,9.05,460.53,1861,49.57,2,43,No,Normal
M01799,82.91,7.61,96.03,2029,7.37,389.4,9167,54.55,1,152,Yes,Fault
M01800,70.26,1.82,85.24,4142,8.75,408.37,3980,70.8,1,226,No,Normal
M01801,92.81,4.5,78.14,2679,9.4,397.91,12000,81.51,2,61,No,Fault
M01802,69.27,4.56,83.38,3434,5.56,405.8,2307,62.62,2,75,No,Normal
M01803,61.5,3.58,70.45,3532,11.41,416.1,2630,97.66,3,35,No,Normal
M01804,51.84,3.7,99.36,3056,9.48,452.52,3689,50.09,6,85,No,Normal
M01805,48.36,4.63,74,3461,6.53,460.98,5317,90.4,1,35,No,Normal
M01806,50.99,3.49,69.04,1427,7.72,419.36,5346,53.35,3,59,Yes,Normal
M01807,73.21,1.94,96.45,2650,11.94,394.66,3844,100,5,21,No,Normal
M01808,76.1,4.89,93.04,1000,9.46,433.99,4458,94.36,3,145,No,Normal
M01809,51.03,6.43,60.87,1665,6.28,415.15,7079,74.78,1,95,No,Normal
M01810,80.74,6.07,96.97,2445,6.7,416.06,2798,83.69,2,119,Yes,Fault
M01811,64.2,3.04,74.62,2368,9.94,386.11,5808,86.42,6,111,No,Normal
M01812,71.76,2.25,79.76,2827,10.21,369.72,1546,63,1,116,No,Normal
M01813,89.35,3.99,87.62,2787,9.33,414.47,12000,70.92,3,25,No,Fault
M01814,80.76,7.32,93.21,2887,7.83,385.06,2720,43.62,3,168,No,Fault
M01815,66.78,5.66,91.24,2914,10.36,400.15,8212,45.44,2,91,No,Fault
M01816,59.31,5.77,84.3,3016,7.78,456.51,4466,88.88,5,101,No,Normal
M01817,44.18,6.1,79.05,2177,6.53,413.04,5111,68.71,0,58,Yes,Normal
M01818,61.37,5.26,90.77,2329,12.15,446,6553,88.22,2,217,Yes,Fault
M01819,67.47,4.72,83.34,2776,9.62,423.29,5080,80.8,4,59,No,Normal
M01820,58.15,5.69,110.27,2786,6.69,431.35,5650,72.18,2,87,No,Normal
M01821,68.42,3.52,93.21,2097,8.81,399.6,7133,93.52,7,83,No,Normal
M01822,70.92,1.95,72.07,3503,8.56,447.28,8095,90.1,4,79,No,Fault
M01823,67.3,5.8,78.31,3271,7.7,423.7,2947,55.39,2,87,No,Normal
M01824,62.2,6.73,85.67,2241,9.04,407.6,6450,43.9,2,146,Yes,Normal
M01825,72.02,2.49,103.19,2665,6.36,423.69,5782,50.78,3,91,Yes,Normal
M01826,75.3,5.98,104.76,4106,10.51,394.97,8914,91.97,4,74,No,Fault
M01827,56.92,7.53,79.45,2904,8.49,406.78,10201,83.46,1,124,Yes,Fault
M01828,86.93,4.5,71.93,3057,4.8,413.45,618,41.19,4,211,No,Normal
M01829,68.82,3.03,70.14,2404,7.98,400.28,9282,65.97,5,75,No,Normal
M01830,70.23,4.72,88.53,2596,7.08,458.64,5350,88.5,1,50,Yes,Normal
M01831,78.5,3.51,117.25,3782,2,403.37,2482,53.18,3,76,No,Normal
M01832,72.8,3.39,92.55,2874,8.14,473.31,3163,68.38,3,27,No,Normal
M01833,81.44,5.28,62.69,2754,10.88,416.88,5571,86.52,3,30,No,Fault
M01834,73.45,1.61,74.84,2805,8.25,408.44,5917,82.11,2,124,No,Normal
M01835,62.65,1.9,76.27,4454,10.13,400.88,5825,46.59,2,69,No,Fault
M01836,74.34,4.53,73.49,2826,8.52,426.83,5548,80.99,3,77,No,Normal
M01837,56.28,4.46,79.57,2260,7.45,440.04,4505,72.43,4,107,No,Normal
M01838,71.3,5.12,90.17,2374,6.82,343.94,6849,83.36,2,77,No,Normal
M01839,69.6,7.88,94.55,3307,5.55,415.14,4893,57.59,9,28,No,Normal
M01840,67.5,4.69,100.28,1871,10.63,359.33,5760,84.82,3,120,No,Normal
M01841,68.46,5.58,92.34,3093,10.18,442.49,3207,76.44,1,34,No,Normal
M01842,47.42,2.74,57.64,2330,7.86,442.99,6048,95.7,2,88,No,Normal
M01843,63.42,5.88,70.2,1592,3.84,416.15,6282,65.69,2,35,No,Normal
M01844,71.11,3.55,82.79,2163,9.59,420.84,4697,54.81,7,73,No,Normal
M01845,71.92,4.63,87.06,2818,6.42,374.97,5536,45.77,0,169,No,Normal
M01846,57.67,4.3,97.06,3707,8.83,399.68,3729,91.25,4,62,No,Fault
M01847,85.19,6.36,85.6,3394,4.96,397.86,6862,28.52,0,208,No,Normal
M01848,59.61,2.14,85.71,2609,8.71,402.43,2300,39.22,4,36,Yes,Normal
M01849,81.63,0.5,88.33,3432,8.2,439.42,4600,69.14,6,72,No,Normal
M01850,75.13,4.12,81.43,2568,2.96,450.89,6424,57.64,3,264,No,Normal
M01851,62.25,5.34,86.22,1847,12.22,432.1,10076,43.03,1,92,Yes,Normal
M01852,91.3,4.77,100.76,2814,7.75,405.94,10374,78.53,5,159,No,Fault
M01853,55.68,6.72,83.83,1821,7.9,394.11,5895,79.35,3,56,No,Normal
M01854,81.03,5.29,84.58,3314,9.73,417.53,12000,72.14,1,122,No,Fault
M01855,82.01,3.49,84.53,3324,8.38,423.3,8175,85.94,6,96,No,Normal
M01856,61.95,0.5,103.17,2228,9.34,408.81,3780,73.23,4,46,No,Normal
M01857,86.71,4.07,69.49,2895,5.87,396.55,6442,30.32,2,341,No,Normal
M01858,67,6.35,109.86,2888,8.17,432.23,4127,61.95,3,60,No,Normal
M01859,73.46,3.79,68.53,3367,4.11,434.98,2714,72.15,2,147,No,Normal
M01860,73.12,4.55,75.84,1991,7.95,378.27,6769,78.92,3,154,No,Normal
M01861,68.39,5.26,95.43,3190,11.82,404.26,6282,73.6,1,131,No,Fault
M01862,79.73,2.67,99.42,1944,5.04,436.78,6218,78.62,4,37,No,Normal
M01863,79.52,5.62,65.35,3305,7.69,442.68,5441,58.12,2,130,No,Normal
M01864,49.02,7.45,69.7,3491,3.61,416.81,5672,68.05,7,243,No,Normal
M01865,85.65,4.19,88.89,2365,8.52,425.23,6952,78.66,1,130,Yes,Normal
M01866,50.05,2.47,117.82,3592,9.57,422.07,3220,100,2,39,Yes,Fault
M01867,82.39,4.38,102.45,1777,9.38,441.72,5776,51.22,0,64,No,Normal
M01868,83.52,0.5,81.53,3515,7.12,383.94,2671,79.52,3,186,No,Normal
M01869,56.91,5.11,51.13,3735,3.57,422.49,5399,47.83,4,207,No,Normal
M01870,65.07,5.31,86.14,3025,5.64,390.11,4601,57.55,4,76,No,Normal
M01871,56.73,7.52,90.07,2673,11.39,445.47,12000,86.16,4,35,No,Fault
M01872,67.42,4.15,79.64,3003,10.52,385.37,7986,73.99,1,140,Yes,Fault
M01873,66.3,5.24,73.09,2408,8.29,426.44,3185,64.47,2,115,No,Normal
M01874,79.36,2.95,87.23,4500,8.87,390.26,6195,100,5,127,No,Fault
M01875,85.72,3.86,71.81,2419,6.14,436.07,7068,57.88,1,67,No,Normal
M01876,86.75,1.75,111.21,3656,11.47,427.3,7285,76.03,4,171,No,Fault
M01877,63.25,4.15,106.23,2318,6.85,421.71,2617,81.15,2,230,No,Normal
M01878,67.49,3.95,94.21,3838,9.51,469.91,6403,38.55,1,39,Yes,Normal
M01879,49.8,5.04,86.26,4108,5.45,395.33,6122,64.36,4,162,No,Fault
M01880,60.33,3.38,75.76,3051,8.09,440.93,9662,46.38,3,11,No,Normal
M01881,81.58,4.65,84.71,2986,11.37,447.82,1540,26.21,5,93,No,Fault
M01882,89.39,3.9,107.95,2178,6.32,440.94,8366,74.69,2,72,No,Normal
M01883,55.19,3.9,97.16,2101,10.22,396.03,8362,77.17,4,84,No,Normal
M01884,62.89,4.64,87.85,2994,6.01,408.43,5962,57.11,5,55,Yes,Normal
M01885,69.68,4.57,97.94,3748,6.43,398.03,12000,50.01,3,69,No,Normal
M01886,73.36,5.87,92.64,2444,8.48,406.68,7974,95.62,4,131,No,Fault
M01887,60.28,4.28,90.55,4235,10.73,391.45,4673,100,4,136,No,Fault
M01888,75.09,3.87,98.73,2403,7.81,404.83,5231,79.05,2,108,Yes,Normal
M01889,64.31,4.17,92.24,2949,9.92,456.09,1176,69.12,2,40,Yes,Normal
M01890,69.83,3.21,97.02,2951,11.13,406.06,6006,57.09,2,193,No,Normal
M01891,76.56,3.85,87.26,2734,6.73,417.96,8575,73.22,5,37,No,Normal
M01892,70.08,8.16,81.44,1472,4.99,394.69,1995,66.95,5,82,No,Normal
M01893,64.76,2.86,77.33,2398,7.68,414.58,4746,80.6,3,138,No,Normal
M01894,68.68,4,75.66,2930,11.43,438.15,9346,90.54,1,151,Yes,Fault
M01895,68.94,3.8,62.53,2738,6.63,428.7,5560,73.69,4,91,No,Normal
M01896,65.56,4.06,72.23,3214,10.83,454.71,3389,69.11,4,137,No,Normal
